target,primary_path,retrieved_at,content_hash,status,notes,clean_path,clean_applied,noise_type
AD_001,AD_001,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_001.txt,True,
AD_002,AD_002,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_002.txt,True,
AD_019,AD_019,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_019.txt,True,
AD_020,AD_020,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_020.txt,True,
BL_015,BL_015,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\BL_015.txt,True,
BL_017,BL_017,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\BL_017.txt,True,
Bl_018,Bl_018,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Bl_018.txt,True,
SN_003,SN_003,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_003.txt,True,
SN_004,SN_004,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_004.txt,True,
SN_005,SN_005,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_005.txt,True,
SN_006,SN_006,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_006.txt,True,
SN_007,SN_007,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_007.txt,True,
SN_009,SN_009,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_009.txt,True,
SN_010,SN_010,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_010.txt,True,
SN_011,SN_011,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_011.txt,True,
SN_012,SN_012,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_012.txt,True,
SN_013,SN_013,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_013.txt,True,
SN_014,SN_014,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_014.txt,True,
SN_015,SN_015,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_015.txt,True,
WEB_016,WEB_016,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_016.txt,True,
AD_028,AD_028,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_028.txt,True,
Bl_026,Bl_026,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Bl_026.txt,True,
SN_021,SN_021,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_021.txt,True,
SN_027,SN_027,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_027.txt,True,
SN_24,SN_24,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_24.txt,True,
WEB_022,WEB_022,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_022.txt,True,
WEB_023,WEB_023,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_023.txt,True,
AD_030,AD_030,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_030.txt,True,
WEB_031,WEB_031,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_031.txt,True,
WEB_032,WEB_032,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_032.txt,True,
WEB_033,WEB_033,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_033.txt,True,
AD_034,AD_034,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_034.txt,True,
AD_035,AD_035,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_035.txt,True,
AD_037,AD_037,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_037.txt,True,
AD_038,AD_038,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_038.txt,True,
AD_039,AD_039,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_039.txt,True,
AD_040,AD_040,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_040.txt,True,
AD_041,AD_041,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_041.txt,True,
AD_042,AD_042,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_042.txt,True,
AD_043,AD_043,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_043.txt,True,
AD_044,AD_044,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_044.txt,True,
AD_045,AD_045,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_045.txt,True,
AD_046,AD_046,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_046.txt,True,
AD_047,AD_047,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_047.txt,True,
AD_048,AD_048,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_048.txt,True,
AD_049,AD_049,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_049.txt,True,
AD_050,AD_050,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_050.txt,True,
AD_051,AD_051,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_051.txt,True,
AD_052,AD_052,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_052.txt,True,
AD_053,AD_053,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_053.txt,True,
AD_054,AD_054,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_054.txt,True,
BL_034,BL_034,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\BL_034.txt,True,
WEB_035,WEB_035,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_035.txt,True,
WEB_043,WEB_043,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_043.txt,True,
AD_58,AD_58,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_58.txt,True,
BL_060,BL_060,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\BL_060.txt,True,
note_059,note_059,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_059.txt,True,
note_062,note_062,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_062.txt,True,
SN_061,SN_061,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_061.txt,True,
WEB_063,WEB_063,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\WEB_063.txt,True,
AD_065,AD_065,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_065.txt,True,
AD_067,AD_067,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_067.txt,True,
AD_070,AD_070,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_070.txt,True,
AD_071,AD_071,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_071.txt,True,
AD_072,AD_072,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_072.txt,True,
AD_073,AD_073,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_073.txt,True,
AD_074,AD_074,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_074.txt,True,
AD_076,AD_076,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_076.txt,True,
AD_079,AD_079,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_079.txt,True,
AD_084,AD_084,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\AD_084.txt,True,
note_085,note_085,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_085.txt,True,
note_087,note_087,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_087.txt,True,
SN_086,SN_086,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_086.txt,True,
Web_088,Web_088,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Web_088.txt,True,
Web_089,Web_089,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Web_089.txt,True,
Web_091,Web_091,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Web_091.txt,True,
Web_094,Web_094,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Web_094.txt,True,
Web_095,Web_095,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\Web_095.txt,True,
note_096,note_096,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_096.txt,True,
note_097,note_097,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_097.txt,True,
note_098,note_098,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note_098.txt,True,
SN_099,SN_099,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_099.txt,True,
SN_100,SN_100,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\SN_100.txt,True,
note111,note111,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note111.txt,True,
note112,note112,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note112.txt,True,
note113,note113,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note113.txt,True,
note114,note114,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note114.txt,True,
note115,note115,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note115.txt,True,
note116,note116,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note116.txt,True,
note117,note117,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note117.txt,True,
note118,note118,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note118.txt,True,
note119,note119,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note119.txt,True,
note120,note120,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note120.txt,True,
note121,note121,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note121.txt,True,
note122,note122,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note122.txt,True,
note123,note123,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note123.txt,True,
note124,note124,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note124.txt,True,
note125,note125,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note125.txt,True,
note126,note126,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note126.txt,True,
note127,note127,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note127.txt,True,
note128,note128,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note128.txt,True,
note129,note129,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note129.txt,True,
note130,note130,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note130.txt,True,
note131,note131,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note131.txt,True,
web101,web101,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web101.txt,True,
web102,web102,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web102.txt,True,
web103,web103,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web103.txt,True,
web104,web104,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web104.txt,True,
web105,web105,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web105.txt,True,
web106,web106,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web106.txt,True,
web107,web107,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web107.txt,True,
web108,web108,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web108.txt,True,
web109,web109,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web109.txt,True,
web110,web110,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web110.txt,True,
web132,web132,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web132.txt,True,
web133,web133,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web133.txt,True,
web134,web134,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web134.txt,True,
web135,web135,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web135.txt,True,
web136,web136,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web136.txt,True,
web137,web137,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web137.txt,True,
web138,web138,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web138.txt,True,
web139,web139,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web139.txt,True,
web140,web140,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web140.txt,True,
web141,web141,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web141.txt,True,
web142,web142,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web142.txt,True,
web143,web143,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web143.txt,True,
web144,web144,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web144.txt,True,
web145,web145,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web145.txt,True,
web146,web146,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web146.txt,True,
note164,note164,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note164.txt,True,
note165,note165,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note165.txt,True,
note167,note167,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note167.txt,True,
note168,note168,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note168.txt,True,
note169,note169,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note169.txt,True,
note170,note170,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note170.txt,True,
note171,note171,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note171.txt,True,
note172,note172,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note172.txt,True,
note173,note173,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note173.txt,True,
note174,note174,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note174.txt,True,
note175,note175,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note175.txt,True,
note176,note176,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note176.txt,True,
note177,note177,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note177.txt,True,
note178,note178,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note178.txt,True,
note179,note179,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note179.txt,True,
web154,web154,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web154.txt,True,
web156,web156,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web156.txt,True,
web180,web180,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web180.txt,True,
web181,web181,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web181.txt,True,
web182,web182,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web182.txt,True,
web183,web183,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web183.txt,True,
web184,web184,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web184.txt,True,
web185,web185,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web185.txt,True,
web186,web186,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web186.txt,True,
web188,web188,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web188.txt,True,
web189,web189,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web189.txt,True,
web190,web190,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web190.txt,True,
web191,web191,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web191.txt,True,
web192,web192,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web192.txt,True,
web193,web193,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web193.txt,True,
web195,web195,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web195.txt,True,
web196,web196,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web196.txt,True,
web197,web197,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web197.txt,True,
vol01,vol01,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
ir_report,ir_report.pdf,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
web194,web194,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web194.txt,True,
web198,web198,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web198.txt,True,
web199,web199,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web199.txt,True,
web200,web200,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web200.txt,True,
web201,web201,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web201.txt,True,
web202,web202,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web202.txt,True,
web203,web203,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web203.txt,True,
web204,web204,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web204.txt,True,
web205,web205,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web205.txt,True,
web206,web206,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web206.txt,True,
web207,web207,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web207.txt,True,
web208,web208,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web208.txt,True,
web209,web209,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web209.txt,True,
web210,web210,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web210.txt,True,
web211,web211,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web211.txt,True,
web213,web213,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web213.txt,True,
web214,web214,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web214.txt,True,
web215,web215,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web215.txt,True,
web216,web216,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web216.txt,True,
web217,web217,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web217.txt,True,
web218,web218,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\web218.txt,True,
note162,note162,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note162.txt,True,
note163,note163,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note163.txt,True,
note223,D:\r8_strategy\corpus\phase2\scan\note223.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\note223.txt,True,
sn231,corpus\phase2\scan\sn231.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn231.txt,True,
sn230,D:\r8_strategy\corpus\phase2\scan\sn230.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn230.txt,True,
sn232,sn232,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn232.txt,True,
sn233,D:\r8_strategy\corpus\phase2\scan\sn233.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn233.txt,True,
book_byousokude_itiokuenkasegujouken_1遶,corpus\book\byousokude_itiokuenkasegujouken\1遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_2遶,corpus\book\byousokude_itiokuenkasegujouken\2遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_3遶,corpus\book\byousokude_itiokuenkasegujouken\3遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_4遶,corpus\book\byousokude_itiokuenkasegujouken\4遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_5遶,corpus\book\byousokude_itiokuenkasegujouken\5遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_6遶,corpus\book\byousokude_itiokuenkasegujouken\6遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_byousokude_itiokuenkasegujouken_7遶,corpus\book\byousokude_itiokuenkasegujouken\7遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_1遶,corpus\book\butinukutikara\1遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_2遶,corpus\book\butinukutikara\2遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_3遶,corpus\book\butinukutikara\3遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_4遶,corpus\book\butinukutikara\4遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_5遶,corpus\book\butinukutikara\5遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_butinukutikara_6遶,corpus\book\butinukutikara\6遶.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch1,corpus\book\kimiwanazehatarakuka\ch1.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch2,corpus\book\kimiwanazehatarakuka\ch2.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch3,corpus\book\kimiwanazehatarakuka\ch3.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch4,corpus\book\kimiwanazehatarakuka\ch4.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch5,corpus\book\kimiwanazehatarakuka\ch5.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kimiwanazehatarakuka_ch6,corpus\book\kimiwanazehatarakuka\ch6.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch1,corpus\book\kyouikunohoukai\ch1.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch2,corpus\book\kyouikunohoukai\ch2.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch3,corpus\book\kyouikunohoukai\ch3.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch4,corpus\book\kyouikunohoukai\ch4.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
book_kyouikunohoukai_ch5,corpus\book\kyouikunohoukai\ch5.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,,,
sn236,corpus\corpus_archive\sn236.txt,2026-05-04,,active,migrated from audit_results_v3.xlsm,corpus\corpus_clean\sn236.txt,True,
